Version 1.0,"Warning!  Calc Price displays a value when Size 1 and Size 2 (if applicable) are entered.  Make sure to read what Size1 and Size2 refer to in the comments field, fill out the appropriate size values before using calc price.",,,,,,,,,,,,,,,,,
19-May-25,Warning! Check Added/Modified Date to make sure you have the current costs.  Some errors were found in the hose clamp equations in the calc price cell.,,,,,,,,,,,,,,,,,
Fastener ID,Fastener,Size 1,Unit 1,Size 2,Unit 2,Category,Supplier,c1,c2,Table Price,System,Category,Calc Price,Attachment,DateAdded/Modified,Mass,Comments,
,"Bolt, Grade NAS 6-Point",12.7,mm,0,mm,Bolt,,162.50,2.60,[C1]/105154*[Size1]^2*[Size2]*SQRT([Size2])+([C2]*EXP(0.319*[Size1])),,, ₹  149.43 ,,,,"[Size1]=diameter (mm).  [Size2]=length (mm).    Strength 1100 Mpa.   Special varities included (drilled head, locking, etc.).",
,"Buckle, side release, metal",25,mm, , ,Bolt,,3.32,38.35,[C1]*[Size1]+[C2],,, ₹  121.23 ,,10-May-17,,[Size1]=width of strap (mm).  ,
,Clevis,12.7,mm,, ,,,0.65,39.65,[C1]*[Size1]^2+[C2],,, ₹  144.49 ,,10-May-17,,[Size1]=bore size (diameter of hole).  Includes male/female and left/right threads.,
,"Dzus Fastener, 1/4 Turn, Slotted Head", ₹  78.00 ,unit,,,,,,,,,,,,10-May-17,,"Includes 1/4 Turn stud, plate, spring and spring receptacle",
,"Dzus Fastener, 1/4 Turn, Wing Head", ₹  84.50 ,unit,,,,,,,,,,,,10-May-17,,"Includes 1/4 Turn stud, plate, spring and spring receptacle",
,"Eyebolt, Threaded, Steel",,mm,,,,,56.55,3.25,[Quantity]*(([C1]*EXP([C2]*[Size1]))),,, ₹  56.55 ,,10-May-17,,[Size1]=Inner Diameter of Eye,
,"Hook and Loop, Hook Side (Velcro)", ₹  0.20 ,cm^2,,,,,,,,,,,,,,Same cost for adhesive backed or non-adhesive backed.  Only includes one side of joint (hook side),
,"Hook and Loop, Loop Side (Velcro)", ₹  0.13 ,cm^2,,,,,,,,,,,,,,Same cost for adhesive backed or non-adhesive backed.  Only includes one side of joint (loop side),
,"Nut, Custom Design, Student Made", ₹  -   ,unit,,,Nut,,,,,,,,,10-May-17,,"To be used for designs that do not match standard nut configurations, such as wheel nuts",
,"Nut, Grade 10.9 (SAE 8)",,mm,,mm,Nut,,0.78,13.00,([C1]*EXP([C2]*[Size1])),,, ₹  0.78 ,,10-May-17,,"[Size1]=diameter (mm).  Special varities included (drilled head, locking, etc.).",
