"Materials Table.  Posted Version 1.0, 19-May-2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Added cost calculation,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
,Fitting/L.P./Elbow/90 deg./Steel/,,Plumbing,[C1]*[Size1]+[C2],mm,,310.7,-814.45,0,,-814.45,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Male Flare to Pipe//Aluminum/Anodized,,Plumbing,[C1]*[Size1]*[Size2]+[C2],mm,mm,2.08,86.45,0,0,86.45,2017-05-10 00:00:00,"[Size1]=Inlet Hose Size (mm), [Size2]=Outlet Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Male Pipe//Aluminum/,,Plumbing,[C1]*[Size1]+[C2],mm,,177.45,435.5,0,,435.5,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Orb/45 deg./Aluminum/,,Plumbing,[C1]*[Size1]+[C2],mm,,143,1560,0,,1560,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Orb/90 deg./Aluminum/,,Plumbing,[C1]*[Size1]+[C2],mm,,0,4225,0,,4225,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Straight/Aluminum/Anodized,,Plumbing,[C1]*[Size1]+[C2],mm,,85.8,-395.2,0,,-395.2,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Straight/Aluminum/Crimp,,Plumbing,[C1]*[Size1]+[C2],mm,,106.6,-204.75,0,,-204.75,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Straight/Aluminum/Nickel-Plated,,Plumbing,[C1]*[Size1]+[C2],mm,,117,-419.25,0,,-419.25,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Straight/Steel/,,Plumbing,[C1]*[Size1]+[C2],mm,,423.8,-1766.7,0,,-1766.7,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
,Fitting/L.P./Tee/Flare-Flare-Pipe/Steel/,,Plumbing,[C1]*[Size1]+[C2],mm,,13,578.5,0,,578.5,2017-05-10 00:00:00,"[Size1]=Hose Size (mm), e.g. AN4 = 4/16 inch = 6.35mm.  Low Pressure."
